840,373634,263854
841,375880,266045
842,376462,265816
843,378468,266915
844,385911,271311
845,381504,269705
846,386257,268200
847,387039,270075
848,378968,268618
849,380390,268924
850,380761,268080
851,385429,270475
852,380596,269142
853,391050,271658
854,382715,272870
855,398729,273643
856,388037,273665
857,392898,273610
858,395825,273471
859,391249,274761
860,396518,275657
861,395559,277573
862,399887,277103
863,405742,280118
864,394381,278067
865,405254,278027
866,402010,278137
867,410717,281508
868,401365,279392
869,408753,282302
870,408035,281869
871,406293,286443
872,412057,287066
873,415489,284973
874,414221,286043
875,409097,284313
876,409337,283884
877,411937,287617
878,417576,289188
879,417795,286174
880,411709,286868
881,424771,288150
882,413992,287866
883,417983,290082
884,422179,287887
885,423811,289415
886,425010,289867
887,430050,290425
888,426257,296343
889,430478,292779
890,425740,292606
891,421181,292037
892,420075,291042
893,422914,293979
894,421744,292581
895,427794,297170
896,425976,295686
897,433210,298237
898,434741,298891
899,448954,298191
900,434201,297452
901,443370,306123
902,436158,299383
903,447802,299460
904,436080,301087
905,442393,303099
906,439232,300979
907,439486,301484
908,441884,302241
909,453781,303182
910,445170,303863
911,445009,304010
912,435186,307815
913,458014,306215
914,457317,309204
915,449842,309214
916,452571,310751
917,462562,308734
918,452174,308758
919,458907,309362
920,454406,309624
921,461382,310359
922,456105,311266
923,455834,310640
924,454530,312581
925,462390,312831
926,453801,314308
927,457913,313495
928,449288,310764
929,470463,313019
930,461649,316490
931,472611,315510
932,462813,316571
933,475779,315532
934,464463,317869
935,475191,317561
936,474292,318084
937,474116,319290
938,469733,318543
939,475884,319528
940,473349,318125
941,475968,318699
942,472926,320482
943,473719,320004
944,463768,320098
945,488611,323008
946,477601,321185
947,481216,322316
948,475043,323585
949,494007,324824
950,478580,322470
951,494993,324837
952,479881,324246
953,494571,326169
954,479451,326754
955,488874,328947
956,491021,328689
957,491337,330473
958,493198,331026
959,494272,332109
960,482789,334861
961,509592,332813
962,490867,332585
963,509356,331725
964,497722,331947
965,505918,332576
966,502249,333316
967,508148,335196
968,495928,335228
969,513955,335065
970,496450,335178
971,504316,335961
972,499266,338163
973,510115,339694
974,500350,339301
975,522931,338591
976,501327,338413
977,523061,338115
978,514871,338233
979,515078,340588
980,514607,340387
981,511662,342408
982,526292,341559
983,514834,342375
984,522554,344040
985,513830,344970
986,517216,344312
987,514333,346436
988,520285,346626
989,505422,345828
990,531007,348488
991,527776,348779
992,518664,346170
993,543224,349269
994,524810,347969
995,545187,349915
996,526135,350764
997,549335,350804
998,535878,351570
999,545552,350978
1000,534740,351320
